zero_shot_EN_f1_macro,zero_shot_PT_f1_macro,"zero_shot_EN,PT_f1_macro",one_shot_EN_f1_macro,one_shot_PT_f1_macro,"one_shot_EN,PT_f1_macro",zero_shot_GL_f1_macro,one_shot_GL_f1_macro,epoch,batch_size,learning_rate,tagged,pair_input,context,occurrences,max_seq_length,split_by_language,model_name_en,model_name_pt,model_name_gl,model_name_ml,model_id_en,model_id_pt,model_id_gl_0shot/1shot,model_id_ml
"0,762","0,669","0,746","0,885","0,848","0,874","0,675","0,548",9,16,"4,00E-05",FALSE,TRUE,paragraph,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,755","0,680","0,743","0,860","0,875","0,870","0,586","0,637",4,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-large-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,759","0,693","0,750","0,904","0,797","0,869","0,581","0,607",3,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,735","0,684","0,735","0,849","0,892","0,869","0,581","0,598",5,8,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,739","0,679","0,731","0,844","0,896","0,868","0,457","0,572",4,8,"4,00E-05",TRUE,TRUE,sentence,multiple,512,TRUE,roberta,bert,bert,roberta,roberta-base,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,761","0,676","0,744","0,863","0,857","0,867","0,623","0,607",9,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,400,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,762","0,657","0,741","0,867","0,849","0,866","0,563","0,610",9,16,"4,00E-05",TRUE,TRUE,paragraph,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,767","0,711","0,763","0,848","0,872","0,863","0,594","0,584",9,32,"2,00E-05",TRUE,TRUE,paragraph,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,735","0,712","0,744","0,856","0,861","0,863","0,572","0,586",9,32,"4,00E-05",FALSE,TRUE,paragraph,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,759","0,711","0,756","0,871","0,834","0,862","0,533","0,586",9,32,"2,00E-05",FALSE,TRUE,paragraph,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,757","0,659","0,733","0,915","0,746","0,861","0,536","0,533",3,32,"4,00E-05",TRUE,TRUE,sentence,first,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,786","0,651","0,754","0,848","0,860","0,859","0,536","0,573",3,32,"4,00E-05",FALSE,TRUE,sentence,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,751","0,695","0,747","0,856","0,839","0,858","0,623","0,559",9,32,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,761","0,667","0,740","0,863","0,828","0,858","0,606","0,647",3,16,"4,00E-05",TRUE,TRUE,sentence,first,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,716","0,578","0,691","0,908","0,743","0,857","0,499","0,546",3,32,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,760","0,666","0,743","0,892","0,781","0,857","0,623","0,658",9,32,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,756","0,682","0,744","0,859","0,817","0,851","0,616","0,586",3,16,"4,00E-05",TRUE,TRUE,sentence,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,735","0,690","0,733","0,894","0,751","0,851","0,620","0,610",3,16,"4,00E-05",FALSE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,771","0,683","0,752","0,876","0,784","0,850","0,597","0,536",3,32,"4,00E-05",FALSE,TRUE,sentence,first,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,775","0,618","0,733","0,845","0,836","0,849","0,597","0,586",4,32,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,742","0,682","0,736","0,837","0,851","0,848","0,551","0,476",3,16,"4,00E-05",FALSE,TRUE,sentence,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,774","0,682","0,756","0,846","0,834","0,847","0,629","0,536",6,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,724","0,678","0,721","0,859","0,795","0,845","0,679","0,557",4,32,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,roberta,bert,bert,roberta,roberta-base,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,750","0,687","0,742","0,844","0,820","0,844","0,559","0,559",4,32,"4,00E-05",TRUE,TRUE,paragraph,first,512,TRUE,roberta,bert,bert,roberta,roberta-base,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,769","0,668","0,745","0,887","0,750","0,844","0,586","0,512",3,32,"4,00E-05",TRUE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,708","0,687","0,714","0,852","0,802","0,842","0,634","0,406",4,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,roberta,bert,bert,roberta,roberta-base,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,801","0,673","0,766","0,878","0,749","0,841","0,573","0,555",3,32,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,789","0,694","0,765","0,850","0,806","0,841","0,610","0,499",3,32,"4,00E-05",TRUE,TRUE,sentence,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,758","0,675","0,747","0,855","0,799","0,840","0,559","0,629",4,32,"4,00E-05",FALSE,TRUE,paragraph,multiple,512,TRUE,roberta,bert,bert,roberta,roberta-base,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,754","0,690","0,744","0,844","0,814","0,840","0,620","0,560",4,8,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,719","0,599","0,706","0,840","0,804","0,839","0,494","0,594",3,32,"4,00E-05",FALSE,TRUE,paragraph,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,787","0,599","0,743","0,835","0,820","0,838","0,572","0,522",3,32,"4,00E-05",FALSE,TRUE,sentence,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,752","0,699","0,743","0,810","0,855","0,834","0,623","0,517",3,16,"4,00E-05",TRUE,TRUE,sentence,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,791","0,659","0,759","0,896","0,694","0,833","0,559","0,440",3,32,"4,00E-05",TRUE,TRUE,sentence,multiple,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,733","0,691","0,733","0,794","0,869","0,831","0,598","0,678",3,16,"4,00E-05",FALSE,TRUE,paragraph,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,747","0,669","0,737","0,876","0,720","0,831","0,546","0,529",3,32,"4,00E-05",FALSE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,752","0,690","0,743","0,880","0,714","0,829","0,616","0,598",3,16,"4,00E-05",FALSE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,741","0,675","0,732","0,865","0,727","0,829","0,634","0,560",3,16,"4,00E-05",TRUE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,769","0,667","0,749","0,814","0,824","0,826","0,611","0,584",3,16,"4,00E-05",TRUE,TRUE,paragraph,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,753","0,658","0,735","0,834","0,782","0,826","0,597","0,505",7,8,"4,00E-05",TRUE,TRUE,paragraph,multiple,350,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,753","0,688","0,743","0,864","0,723","0,825","0,602","0,644",3,32,"4,00E-05",FALSE,TRUE,sentence,multiple,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,777","0,711","0,768","0,846","0,740","0,821","0,581","0,548",4,32,"4,00E-05",FALSE,TRUE,paragraph,first,512,TRUE,roberta,bert,bert,roberta,roberta-base,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,745","0,643","0,721","0,851","0,732","0,820","0,560","0,610",3,32,"4,00E-05",FALSE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,711","0,692","0,720","0,798","0,835","0,818","0,581","0,576",3,16,"4,00E-05",FALSE,TRUE,sentence,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,716","0,697","0,727","0,801","0,812","0,815","0,665","0,488",3,16,"4,00E-05",TRUE,TRUE,sentence,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,730","0,671","0,725","0,828","0,759","0,814","0,585","0,620",3,8,"1,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,746","0,702","0,743","0,872","0,683","0,812","0,598","0,650",3,16,"4,00E-05",FALSE,TRUE,sentence,first,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,718","0,680","0,715","0,839","0,748","0,812","0,435","0,644",3,32,"4,00E-05",TRUE,FALSE,sentence,multiple,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,755","0,593","0,716","0,793","0,828","0,811","0,499","0,559",3,32,"4,00E-05",TRUE,FALSE,sentence,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,714","0,686","0,718","0,814","0,787","0,810","0,505","0,536",3,32,"4,00E-05",TRUE,FALSE,sentence,first,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,787","0,640","0,749","0,792","0,802","0,807","0,559","0,571",4,32,"4,00E-05",FALSE,TRUE,paragraph,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,767","0,693","0,753","0,824","0,743","0,807","0,647","1,000",5,16,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,748","0,695","0,740","0,832","0,716","0,803","0,597","0,571",3,32,"4,00E-05",TRUE,FALSE,paragraph,multiple,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,833","0,675","0,791","0,806","0,773","0,802","0,586","0,548",3,32,"4,00E-05",TRUE,TRUE,paragraph,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,780","0,680","0,759","0,822","0,734","0,802","0,548","0,607",4,32,"4,00E-05",TRUE,TRUE,paragraph,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,743","0,665","0,728","0,836","0,708","0,797","0,406","0,594",3,32,"4,00E-05",TRUE,FALSE,paragraph,first,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,782","0,586","0,733","0,787","0,782","0,794","0,510","0,559",3,32,"4,00E-05",TRUE,TRUE,sentence,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,792","0,656","0,760","0,829","0,682","0,788","0,586","0,476",3,32,"4,00E-05",TRUE,FALSE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,773","0,546","0,722","0,777","0,753","0,781","0,559","0,560",3,32,"4,00E-05",TRUE,FALSE,sentence,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,765","0,715","0,760","0,810","0,693","0,781","0,663","0,982",5,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,751","0,672","0,742","0,773","0,735","0,773","0,548","0,581",3,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,757","0,599","0,728","0,781","0,679","0,760","0,449","0,449",1,8,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-cased
"0,741","0,685","0,736","0,773","0,689","0,755","0,572","0,962",5,8,"4,00E-05",TRUE,TRUE,paragraph,first,350,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,784","0,695","0,765","0,773","0,680","0,755","0,569","0,901",9,32,"4,00E-05",TRUE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,762","0,572","0,705","0,763","0,657","0,736","0,489","0,462",3,32,"4,00E-05",FALSE,FALSE,paragraph,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,734","0,615","0,713","0,768","0,601","0,726","0,482","0,555",3,32,"4,00E-05",FALSE,FALSE,sentence,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,752","0,516","0,689","0,746","0,617","0,719","0,499","0,430",3,32,"4,00E-05",FALSE,FALSE,sentence,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,727","0,667","0,718","0,725","0,667","0,718","0,505","0,517",3,8,"1,00E-06",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,766","0,623","0,730","0,767","0,544","0,711","0,499","0,517",1,16,"2,00E-05",TRUE,TRUE,paragraph,multiple,200,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,668","0,535","0,647","0,747","0,560","0,697","0,511","0,476",3,32,"4,00E-05",FALSE,FALSE,sentence,multiple,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,678","0,540","0,651","0,731","0,580","0,691","0,474","0,476",3,32,"4,00E-05",FALSE,FALSE,sentence,first,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,735","0,486","0,690","0,743","0,464","0,689","0,487","0,406",1,32,"2,00E-05",TRUE,TRUE,paragraph,multiple,300,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,682","0,513","0,643","0,716","0,562","0,680","0,414","0,435",3,32,"4,00E-05",FALSE,FALSE,paragraph,first,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,702","0,507","0,652","0,705","0,537","0,659","0,462","0,416",3,32,"4,00E-05",FALSE,FALSE,paragraph,multiple,512,TRUE,bert,bert,bert,roberta,bert-base-cased,neuralmind/bert-base-portuguese-cased,xlm-roberta-base|dvilares/bertinho-gl-base-cased,xlm-roberta-base
"0,720","0,508","0,672","0,281","0,361","0,313","0,395","0,406",3,32,"4,00E-05",FALSE,FALSE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,800","0,609","0,750","0,281","0,361","0,313","0,559","0,406",3,32,"4,00E-05",TRUE,FALSE,paragraph,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,797","0,646","0,763","0,281","0,361","0,313","0,729","0,406",4,16,"4,00E-05",FALSE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,280","0,400","0,324","0,281","0,361","0,313","0,418","0,406",4,16,"4,00E-05",FALSE,TRUE,sentence,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,281","0,361","0,313","0,281","0,361","0,313","0,406","0,406",4,16,"4,00E-05",FALSE,TRUE,sentence,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,762","0,534","0,713","0,281","0,361","0,313","0,487","0,406",4,16,"4,00E-05",TRUE,TRUE,sentence,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,281","0,361","0,313","0,281","0,361","0,313","0,406","0,406",4,16,"4,00E-05",TRUE,TRUE,paragraph,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,281","0,361","0,313","0,281","0,361","0,313","0,406","0,406",4,16,"4,00E-05",TRUE,TRUE,sentence,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
